Nº do Processo,Data da Homologação,Modalidade,Nº da Modalidade,Licitantes Vencedores,Valor Total Licitado,Objeto,Unidade Orcamentaria,Query objetos e empresas,Empresas participantes,Valor total por empresa,Empresas frequentes,Num Participações,Empresa com participação Única,UASG
27956 - 2014,26/11/2015,5 - PREGÃO PRESENCIAL,920,ALTERNATIVA COMERCIAL LTDA - ME,17505.9,"futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DCL BRASIL DISTRIBUIDORA LTDA,453000,PRAG MINAS COMERCIO AGROPECUARIO EIRELI - ME,2,GUILHERME HENRIQUE FRAZAO - ME,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,CADERPEL COMERCIO LTDA - ME,286685.2,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DEDETIZADORA MORTAL KOMBAT LTDA - ME,2000,PROSOLDA COMERCIO DE GASES E TRANSPORTES LTDA - EPP,3,H SOM SONORIZACAO & ASSISTENCIA TECNICA LTDA - EPP,Prefeitura Municipal de Uberlândia
27723 - 2014,27/01/2015,5 - PREGÃO PRESENCIAL,911,OLIVEIRA & LOURENCO INDUSTRIA DE PANIFICACAO LTDA - ME,3575000,"futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro e eventual fornecimento de pães, em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DELIMED DISTRIBUIDORA DE MEDICAMENTOS LTDA - EPP,43000,R C COMERCIO DE PEDRAS LTDA,2,HBC - HOSPITAL BRASIL CENTRAL LTDA,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,LM COMERCIO LTDA - ME,817206.65,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DENTAL MARIA LTDA ME,10825.1,RB GRAFICA DIGITAL EIRELI - ME,3,HELCIO DE OLIVEIRA JUNIOR,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL MACKEY LTDA - ME,64926.4,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DESTRA ARQUITETURA LTDA - ME,67283.75,REAL DISTRIBUIDORA DE CARNES LTDA,3,HLI ASTECH INSTALACOES ELETROELETRONICAS LTDA-ME,Prefeitura Municipal de Uberlândia
29565 - 2014,04/08/2015,5 - PREGÃO PRESENCIAL,971,SILVEIRA GUIMARAES MATERIAIS PARA CONSTRUCAO EIRELI - EPP,147466.5,"futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual fornecimento de materiais de marcenaria (assento, thinner, tinta esmalte, fundo para pintura, etc), em atendimento à Secretaria Municipal de Administração e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DIEGO ALBERTO RAMOS RAFAEL - ME,1318611.66,RIBEIRO BARROSO CONSTRUCOES ELETRICAS LTDA,3,HOPE COMERCIAL LTDA - ME,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,MIDIAPEL PAPELARIA E INFORMATICA LTDA - ME,274274,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DIRCEU LONGO & CIA LTDA - EPP,3810,RNS COMERCIO LTDA - ME,2,HOSP LOG COMERCIO DE PRODUTOS HOSPITALARES LTDA,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,50407,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DL KARAM COMERCIAL E DISTRIBUIDORA DE PRODUTOS TEXTEIS LTDA,11940,ROYAL & SUNALLIANCE SEGUROS BRASIL SA,2,HS COMERCIO DE ELETRONICOS LTDA - EPP,Prefeitura Municipal de Uberlândia
24842 - 2015,10/11/2015,1 - CONVITE,663,NASCUCAR INDUSTRIA E COMERCIO LTDA - EPP,10950,"aquisição de copos descartáveis: para café 50 ml e para água 200 ml (branco e material polipropileno não tóxico, virgem, de acordo com a norma da ABNT/NBR n°14865), em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de copos descartáveis: para café 50 ml e para água 200 ml (branco e material polipropileno não tóxico, virgem, de acordo com a norma da ABNT/NBR n°14865), em atendimento à Secretaria Municipal de Administração.",DMC DISTRIBUIDORA COMERCIO D' MEDICAMENTOS LTDA EPP,47259.68,SANTA CHIARA RESTAURANTE LTDA,10,HUGO ALEXANDRE RIOS CARNEIRO 09295360613,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMIGO COMERCIAL MINAS GOIAS LTDA - EPP,311791.55,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DOMINIUM INFORMATICA LTDA,2391836.65,SAUDE E COMPANHIA DISTRIBUIDORA LTDA - EPP,3,IBI LIFE MEDICAL LTDA - ME,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,COMERCIAL LORENA LTDA - EPP,6500,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DOMINO COMERCIO DE EQUIPAMENTOS - EIRELI - EPP,25840.8,SEBASTIAO CARLOS DA COSTA - ME - 52633055672,2,IDEALEPI COMERCIAL LTDA - ME,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,ALTERNATIVA COMERCIAL LTDA - ME,241575,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",DSF DESENVOLVIMENTO DE SISTEMAS FISCAIS LTDA,9791088.25,SELECTA SERVICOS GLOBALIZADO LTDA - EPP,2,IGOR NUNES CAIXETA,Prefeitura Municipal de Uberlândia
24551 - 2015,10/11/2015,1 - CONVITE,654,WESI COMERCIAL LTDA - EPP,8640,"aquisição de papel higiênico 30 metros e papel higiênico 500 metros (tipo rolão), em atendimento à Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de papel higiênico 30 metros e papel higiênico 500 metros (tipo rolão), em atendimento à Secretaria Municipal de Administração.",DURABRAX IND E COM DE TINTAS INDUSTRIAIS LTDA-ME,130125,SEVENMIX COMERCIO E SERVICO EIRELI - ME,9,IMAGEM E PROJECAO COMERCIO LTDA,Prefeitura Municipal de Uberlândia
28722 - 2014,26/01/2015,5 - PREGÃO PRESENCIAL,951,COPAGAZ DISTRIBUIDORA DE GAS S.A,339000,"futuro e eventual fornecimento de gás de cozinha (GLP), em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro e eventual fornecimento de gás de cozinha (GLP), em atendimento às Secretarias e Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",E-SELL TECNOLOGIA LTDA-EPP,15110.76,SHG COMERCIO E SERVICOS LTDA - ME,4,IMAGEM SISTEMAS MEDICOS LTDA,Prefeitura Municipal de Uberlândia
19880 - 2015,28/09/2015,1 - CONVITE,448,ZILLION COMERCIO & REPRESENTACOES LTDA,24700,"aquisição de 5 licenças do programa de computador ""Autocad LT"", á serem utilizados pela equipe de engenharia e topografia da Diretoria de Patrimônio Imobiliário, em atendimento a Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com aquisição de 5 licenças do programa de computador ""Autocad LT"", á serem utilizados pela equipe de engenharia e topografia da Diretoria de Patrimônio Imobiliário, em atendimento a Secretaria Municipal de Administração.",ECOMULTI SERVICOS E COMERCIO LTDA - EPP,711984,SIGMA ENGENHARIA E CONSTRUCAO LTDA,2,INDREL INDUSTRIA DE REFRIGERACAO LONDRINENSE LTDA,Prefeitura Municipal de Uberlândia
24838 - 2015,26/11/2015,1 - CONVITE,659,MADEIREIRA AIMORE EIRELI - EPP,113.9,"fornecimento de diversos materiais (fita isolante, soquete para lampada, condulete, lampada, fio paralelo, etc.) em atendimento a Secretaria Municipal de Administração.",Secretaria Municipal de Administração,"Qual o valor gasto com fornecimento de diversos materiais (fita isolante, soquete para lampada, condulete, lampada, fio paralelo, etc.) em atendimento a Secretaria Municipal de Administração.",EDEN - COMERCIO E SERVICOS LTDA-ME,3848,SILVEIRA GUIMARAES MATERIAIS PARA CONSTRUCAO EIRELI - EPP,16,INSIGHT EQUIPAMENTOS E SISTEMAS LTDA - ME,Prefeitura Municipal de Uberlândia
27956 - 2014,26/11/2015,5 - PREGÃO PRESENCIAL,920,SOUSA & COSTA LTDA - ME,146523,"futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de gêneros alimentícios, em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",EGIDE - COMERCIO DE VESTUARIO E ELETRODOMESTICOS LTDA - ME,511.88,SISTEMAS DE ALARME MAXIMA SEGURANCA LTDA - EPP,8,INSTITUICAO CRISTA DE ASSISTENCIA SOCIAL DE UBERLANDIA,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,COMERCIAL GRANADA MATERIAIS DE ESCRITORIO LTDA - EPP,38406.4,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ELDORADO MATERIAIS PARA CONSTRUCAO LTDA - EPP,878896.35,SJ DISTRIBUIDORA EIRELI - EPP,3,INSTITUTO BEZERRA NELSON LTDA ME,Prefeitura Municipal de Uberlândia
29106 - 2014,19/03/2015,5 - PREGÃO PRESENCIAL,963,CAPITAL SEGURANCA CONTRA INCENDIO UBERLANDIA LTDA - ME,284770,"fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com fornecimento de recargas, testes hidrostáticos, pesagens e substituião de peças em estintores de incêndio, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ELETROFRI MANUTENCOES LTDA,7666.66,SOUSA & COSTA LTDA - ME,8,INTER MEDICAL EQUIPAMENTOS E SERVICOS LTDA - EPP,Prefeitura Municipal de Uberlândia
23654 - 2015,01/12/2015,5 - PREGÃO PRESENCIAL,591,OLIVEIRA & LOURENCO INDUSTRIA DE PANIFICACAO LTDA - ME,3516250,futura ou eventual fornecimento de pães do tipo francês em atendimento às Secretarias e aos Órção de Administração Direta da Prefeitura Municipal de Uberlândia.,Secretaria Municipal de Administração,Qual o valor gasto com futura ou eventual fornecimento de pães do tipo francês em atendimento às Secretarias e aos Órção de Administração Direta da Prefeitura Municipal de Uberlândia.,ELETRONICA UNAI LTDA - ME,24397,SPACE INFORMATICA E MOVEIS PARA ESCRITORIO LTDA - ME,3,IRMAOS RABELO SERVIOS EM TACOGRAFOS LTDA - ME,Prefeitura Municipal de Uberlândia
1132 - 2015,05/05/2015,5 - PREGÃO PRESENCIAL,3,COOPERATIVA AGROPECUARIA LTDA DE UBERLANDIA,29425,"futura ou eventual fornecimento de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândua.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual fornecimento de leite e manteiga, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ELETROTEL TECNOLOGIA LTDA - EPP,2316,T & I TELECOMUNICACOES LTDA - EPP,2,ISO OLHOS - INSTITUTO DE SAUDE OCULAR LTDA,Prefeitura Municipal de Uberlândia
27419 - 2014,20/02/2015,5 - PREGÃO PRESENCIAL,903,LILIAN CARLA PEREIRA - ME,3714000,"futuro ou eventual fornecimento de refeições, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou eventual fornecimento de refeições, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ELEVADORES ATLAS SCHINDLER S A,3461.28,TECSAN ENGENHARIA LTDA,2,IT-ONE TECNOLOGIA DA INFORMACAO LTDA,Prefeitura Municipal de Uberlândia
30463 - 2014,01/12/2015,5 - PREGÃO PRESENCIAL,1010,OPCAO PAPEIS COMERCIO LTDA - ME,378654.49,"futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futuro ou e eventual fornecimento de materiais de escritório (agenda, almofada para carimbo, apontador de lapis, caneta etc), em atendimento ás Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ELEVADORES ORION LTDA,6460,TEIXEIRA & ALVIM COMERCIAL E SERVICOS LTDA - ME,2,ITALIA CAFES ESPECIAIS - EIRELI,Prefeitura Municipal de Uberlândia
29774 - 2014,24/11/2015,5 - PREGÃO PRESENCIAL,984,COMERCIAL BARACUI & SANTOS LTDA - EPP,22209.3,"futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",Secretaria Municipal de Administração,"Qual o valor gasto com futura ou eventual aquisição de materiais de limpeza, higiene e diversos, em atendimento às Secretarias e aos Órgãos da Administração Direta da Prefeitura Municipal de Uberlândia.",ELEVAR COMERCIO E ASSISTENCIA TECNICA DE ELEVADORES LTDA,4820,TELAS TRIANGULO - EIRELI - EPP,3,ITAU SEGUROS DE AUTO E RESIDENCIA SA,Prefeitura Municipal de Uberlândia
